Время;Работа;Расширенная информация;Ссылка;Компания;Город
" 5 дней назад
";Викладач ІТ дисциплін для дітей;" IT STEP Academy запрошує у свою команду викладача напрямку «Малої Комп'ютерної Академії». Комп'ютерна Академія STEP - міжнародний навчальний заклад, який...
";https://rabota.ua/company6867505/vacancy7699222;IT Step Тернопіль;Тернополь
" 5 дней назад
";Senior Python Developer, Insurance Services;" Our client is a fast-growing US-based start-up founded by insurance industry veterans. Its product is built on the program administrator model, using technology...
";https://rabota.ua/company277662/vacancy8005176;DataArt;Харьков
" 5 дней назад
";Middle Python developer;" «Involve» - IT-компания, c продуктовым подходом, ориентированная на реализацию качественных финтех-продуктов, их дальнейшую техническую поддержку и совершенствование.Наша...
";https://rabota.ua/company6532981/vacancy7998263;Involve;Киев
" 5 дней назад
";Data Scientist / BI Analyst;" Data Scientist / BI Analyst - в динамично растущую команду Factum Group Требования: Высшее образование: computer science, data science, статистика, маркетинг...
";https://rabota.ua/company3257136/vacancy7734749;Factum Group;Киев
" 5 дней назад
";Technical Documentation Database Specialist;" Dialog Semiconductor is a leading provider of custom, highly-integrated and configurable mixed-signal ICs, ideal for a wide range of applications, including...
";https://rabota.ua/company1066483/vacancy7891425;Dialog Semiconductor;Львов
" 5 дней назад
";Middle Data Scientist / Machine Learning Engineer;" В розничной национальной сети открыта вакансия Middle Data Scientist / Machine Learning Engineer Требования:знание основных подходов и алгоритмов статистического...

";https://rabota.ua/company2149612/vacancy7812770;Аптека Низких Цен;Киев
" 5 дней назад
";Middle Python developer;" What we need:What we need:2-3+ years of relevant development experience;Advanced skills with Python (asyncio, aiohttp, sqlalchemy, aio-pika);Knowledge...
";https://rabota.ua/company8076147/vacancy7740883;ATLAS IAC;Киев
" 5 дней назад
";Data scientist;" Подивіться, які цікаві задачі очікують на Вас: сегментація клієнтської бази для різних процесів банку;діалогах \ відгуках \ коментарях;задачі з текстової...
";https://rabota.ua/company203681/vacancy7679755;ПриватБанк;Киев
" 5 дней назад
";Deep Learning Engineer;" Modern businesses - ranging from emerging companies to large enterprises - express interest in application of Data Science. MobiDev covers this direction...
";https://rabota.ua/company960633/vacancy7990092;MobiDev;Харьков
" 5 дней назад
";Адміністратор мережі;" Вимоги:Знання основ сучасних комп'ютерних мережДосвід програмування на Python для управління мережевими пристроямиДосвід роботи з Ansible. Досвід роботи...
";https://rabota.ua/company203681/vacancy7989885;ПриватБанк;Днепр
" 5 дней назад
";TL / Senior Python Developer;" Запрошуємо в команду TL/Senior Python розробника для участі в проекті, метою якого є створення системи, що дозволяє в реальному часі відтворювати поведінку...
";https://rabota.ua/company526451/vacancy8004909;Polytech Software;Киев
" 5 дней назад
";Middle Data Scientist;" Access Softek is US-based software development company, started 30 years ago in Berkeley, CA. Today, we have offices opened in New-York city, Chicago,...
";https://rabota.ua/company4319639/vacancy8011130;Access Softek;Киев
" 5 дней назад
";Analyst to Kyiv School of Economics (KSE);" KSE Institute of Kyiv School of Economics (KSE) is looking for an Analyst, full time / part-time. Key areas of work will include, but are not limited to,...
";https://rabota.ua/company971611/vacancy8011077;Kyiv School of Economics;Киев
" 6 дней назад
";Senior Python Developer, Financial Software Solutions;" THE POSITION OFFERS REMOTE WORK OPPORTUNITY. Our client is a New York City-based FinTech company that is building a software platform for the investment...
";https://rabota.ua/company277662/vacancy8010960;DataArt;Львов
" 6 дней назад
";Молодший аналітик (телекомунікації);" Vodafone Україна - компанія світового рівня, що займає провідні позиції у сфері технологій та телекомунікацій, впроваджує інновації у всіх напрямках діяльності....
";https://rabota.ua/company806/vacancy8004563;Vodafone Україна ;Киев
" 6 дней назад
";Senior BigData Engineer, Financial Software Solutions;" Our client is a New York City-based FinTech company that is building a software platform for the investment banking industry and a line of products to...
";https://rabota.ua/company277662/vacancy7989462;DataArt;Херсон
" 6 дней назад
";BigData Developer, Media Conglomerate;" DataArt is involved in the software transformation of key business areas of a US-based global music conglomerate. The solutions we're currently developing...
";https://rabota.ua/company277662/vacancy7989484;DataArt;Херсон
" 6 дней назад
";Middle — to — Senior Python Developer;" Required skills• In-depth Python knowledge• Knowledge of JavaScript• Odoo (OpenERP)• Working knowledge of SQL HTML, CSS• Git Flow• Ubuntu command line•...
";https://rabota.ua/company1877620/vacancy7989590;QAMadness;Харьков
" 6 дней назад
";Python Back-End Developer;" Beetroot is growing steadily and looking for an ambitious, active Python Back-End Developer to join our team!We are looking for a strong, back-end engineer...
";https://rabota.ua/company2010137/vacancy7960683;Beetroot ;Житомир
" 6 дней назад
";Junior Quant Trader / Data Scientist;" Atto Trading Technologies LLC is a dynamic, technology-driven firm supporting a quantitative trading operation across a wide range of financial markets....
";https://rabota.ua/company293064/vacancy7997438;Atto Trading Technologies LLC;Киев
" 6 дней назад
";Data scientist;" Обязанности: Сбор, обработка и предварительный анализ данных. Формулирование и проверка статистических гипотез, построение моделей, как на основе классических...
";https://rabota.ua/company1590638/vacancy7805032;EvoPlay;Киев
" 6 дней назад
";Senior/Strong middle Cloud developer;" The Product: · Platform which provides the REST API for the end user to manage and orchestrate various ML models (mostly Spark/PySpark based) focused on...
";https://rabota.ua/company53660/vacancy7838589;NIX Solutions;Харьков
" 6 дней назад
";Senior Python Developer;" Our client is a New York-based startup that is developing a B2B service for a wellness industry. Advanced mobile technology is used in platform development....
";https://rabota.ua/company277662/vacancy8003355;DataArt;Харьков
